time,sdnn,rmssd,mean_rr,n
168.09473684210525,41.09077569329021,31.163416797921943,860.1067887109078,69
168.96315789473684,40.8315716350734,31.001587026622364,858.1203007518798,70
169.81578947368422,41.03668840996044,30.871818407492785,856.315789473684,70
170.70526315789473,41.54553315885117,30.77413283907736,855.0375939849622,70
171.6578947368421,41.674336739483856,30.982156384145362,854.5112781954883,70
172.6,41.63468373285702,30.93677075871448,854.06015037594,70
173.46315789473684,41.721100808030776,30.643401012504235,853.7593984962401,70
174.28421052631577,41.47977159426083,30.81975796841381,854.4360902255639,70
175.09473684210525,42.13855336468348,31.28518333355513,855.7142857142858,70
175.91052631578947,43.517506074442856,31.4451781549126,856.8421052631579,70
176.7157894736842,43.51750607444296,32.233242066141024,856.8421052631584,70
177.53157894736842,43.25179747586903,32.22701402201638,857.5939849624061,70
178.3842105263158,43.18770057928706,32.438005699875845,858.2761250953472,69
179.29999999999998,43.16472854196868,32.56960058382574,859.3440122044242,69
180.2157894736842,43.016189647835674,32.898931845399794,860.1503759398497,70
181.10526315789474,42.87703924981024,32.99032640572524,860.3007518796991,70
182.01052631578946,42.48149712386426,32.93552010343072,860.8270676691728,70
182.9157894736842,42.408194343042304,33.03289066355981,861.3533834586467,70
183.78947368421052,42.395480148679844,33.0571884900622,861.5037593984962,70
184.61052631578946,42.819752409514045,33.65893407087772,860.9022556390978,70
185.42105263157893,43.78140563640732,32.62321193880521,859.9248120300753,70
186.24736842105264,44.22551985567631,32.49374200520704,857.7443609022558,70
187.0842105263158,42.97724092335477,32.66625455173266,855.7894736842104,70
187.89473684210526,42.24322228110324,32.573950737523155,854.8120300751879,70
188.68421052631578,42.19431848323454,32.60474771021255,854.2105263157891,70
189.4894736842105,41.92577969159045,32.590320752139874,854.4106745737581,71
190.3421052631579,42.858220407781516,33.577132437340275,855.0778354336546,71
191.20526315789473,42.82269892857088,33.527476698453,854.436090225564,70
192.06315789473683,45.98234802443869,33.86701919212512,856.315789473684,70
192.93684210526317,47.19338551476103,34.24424788761863,858.1954887218046,70
193.86842105263156,47.33637858723101,35.415778040336775,858.8863463005335,69
194.80526315789473,46.81373436362263,34.640552580674424,858.1203007518797,70
195.66842105263157,46.84404583413728,34.65793223855225,858.0451127819547,70
196.5,47.04928026476523,34.65793223855175,857.7443609022557,70
197.32105263157894,47.55276323595571,34.686878983962586,856.9172932330828,70
198.14736842105262,48.013836950801526,34.686878983962586,855.9398496240603,70
198.9578947368421,47.723497665064336,34.718609933895785,855.6708673091182,71
199.7473684210526,47.820451332432754,35.12654493516105,855.8932542624165,71
200.54210526315788,48.164106409539,35.10106534894083,855.93984962406,70
201.36842105263156,47.99304848064495,34.41381832411978,855.4887218045117,70
202.21052631578948,46.92557512338704,34.86005469335948,854.812030075188,70
203.04210526315788,48.95283409500531,35.4255287021248,855.6390977443609,70
203.90526315789472,52.791518995948195,35.15249550890186,857.8947368421054,70
204.82631578947368,53.323822870376205,36.74390311978196,859.4736842105266,70
205.7736842105263,53.26571233797707,36.8747811944258,860.8270676691731,70
206.6421052631579,53.09056701205196,36.90198903491204,861.8796992481203,70
207.51052631578946,52.66120992209948,36.929176829829075,862.8571428571429,70
208.40526315789472,52.90948302683116,36.581341659395676,863.1578947368419,69
209.30526315789473,53.051672936133535,36.720276233366086,861.4797864225785,69
210.15263157894736,53.01678800094139,36.47523559670409,860.7518796992484,70
210.97894736842105,52.63833453429403,36.53572069011772,859.6992481203009,70
211.82631578947368,52.6383345342938,36.92917682982978,859.6992481203006,70
212.7,52.401644407043584,36.9509126626886,859.3233082706766,70
213.56315789473683,52.72852572835642,37.194565543500225,859.624060150376,70
214.3736842105263,53.08704969600046,36.91942351244731,859.4202898550726,69
215.1578947368421,53.27291660104778,37.17168262714399,859.9845201238394,68
215.93157894736842,53.32343008719277,37.401764219873314,860.7227022780835,67
216.7473684210526,53.559722007796715,37.665749894401586,861.2440191387559,66
217.6,53.88895326539666,37.81607332421052,861.6194331983806,65
218.43684210526314,53.92616032788531,38.02261908473778,862.4177631578949,64
219.30526315789473,53.551398577527095,38.27553436780615,863.5756056808691,63
220.2421052631579,53.46140881324902,38.10839966307661,864.5161290322585,62
221.23684210526315,54.337215449166756,38.71861844927306,864.7368421052633,60
222.18947368421053,54.79614857383033,38.995898542817095,864.8528099910795,59
223.0578947368421,55.26213445554258,38.58179859689464,864.7005444646097,58
223.91052631578947,55.01968969000262,38.918400119063485,863.5272391505082,57
224.7578947368421,55.01968969000262,38.918400119063485,863.5272391505082,57
225.59473684210525,54.61439324473917,37.99296148151022,862.2180451127823,56
226.41052631578947,55.117611261665985,38.10155819710449,862.2009569377991,55
227.21052631578948,55.472972412912505,38.43213780856994,862.768031189084,54
228.01052631578946,55.698583978370884,38.793052422544605,863.5551142005961,53
228.84736842105264,55.99507006766455,39.109083285290936,864.271255060729,52
229.7315789473684,56.029043424129824,39.38586722919982,865.325077399381,51
230.58947368421053,55.11142281043209,39.93155501445713,868.3136412459725,49
231.49473684210525,55.34963194767891,40.28834598471701,869.1885964912286,48
232.49473684210525,55.802296409768665,40.69432321230837,869.7648376259797,47
233.5157894736842,56.12473562391056,40.873804542942686,870.5949656750576,46
234.44736842105263,56.7476127977356,40.40371687662448,870.7602339181291,45
235.35263157894735,56.87726865091606,40.67332537454651,869.6172248803829,44
236.2421052631579,56.25625530389745,39.31043938998442,867.8090575275398,43
237.1157894736842,56.938092075847926,39.78694696217648,867.7944862155388,42
237.94210526315788,57.645337482319,40.065735459301365,867.7792041078308,41
238.7421052631579,58.21589245423026,40.56739422206338,867.1052631578953,40
239.55263157894737,58.72879377635264,40.2010547067292,866.2618083670718,39
240.39473684210526,59.43389526358962,40.59341215553277,866.7590027700834,38
241.28421052631577,59.86524037285444,41.003494359719646,867.852062588905,37
242.16315789473683,60.61288350029904,41.346547623661436,868.4210526315792,36
243.08947368421053,61.4909762232947,41.91131803117504,868.2706766917298,35
