time,dc,ac_rms,snr_db,cardiac_power_fraction,dominant_hr,dominant_freq,periodicity,amplitude_consistency,sqi,status
49.0,462.82889524607936,135.55049607359442,0.1832295585512467,0.7728205174233883,67.5,1.125,0.8705142046222147,0.9726763703085826,0.8648177424177362,QUESTIONABLE
51.0,470.25646858938376,133.07075350404443,0.03628146096736941,0.7696745987809477,67.5,1.125,0.874933291186778,0.9743912115551777,0.8652280691794481,QUESTIONABLE
53.0,463.3748005868263,131.52480597769193,0.16489041340183302,0.7721044684701397,67.5,1.125,0.8758746958701727,0.9703151834683407,0.8656672328427758,QUESTIONABLE
55.0,467.67353297818886,134.03547847798302,1.1506594468769322,0.7556889303299386,67.5,1.125,0.8544723097559781,0.9718297681239976,0.8529832186835683,QUESTIONABLE
57.0,473.93681377831933,135.19064797429186,0.834684161733207,0.760089908206464,67.5,1.125,0.7805080208512697,0.9617538173937411,0.8305391330167148,QUESTIONABLE
59.0,469.36175798668455,132.10736650730837,0.15038713142851035,0.7841178107735196,75.0,1.25,0.7240076474561826,0.9566041172689153,0.8221702420000457,QUESTIONABLE
61.0,461.9451757554554,131.4347987868174,0.22237726684071518,0.7752958927203841,67.5,1.125,0.7008891908811737,0.9615143265036101,0.8126879796532278,QUESTIONABLE
63.0,468.8192037955911,131.5772831625459,0.7813519536541433,0.7410950594321659,67.5,1.125,0.720645502615593,0.9534726585248682,0.8033262062625179,QUESTIONABLE
65.0,466.2460179408687,126.97623443738686,0.7825844515405765,0.7401673966762358,67.5,1.125,0.7488993880994917,0.9326458369613367,0.8072659424926091,QUESTIONABLE
67.0,465.4262574927475,124.28056332655214,1.0248951733663163,0.7582898567682497,67.5,1.125,0.7402786612697777,0.9711057468966078,0.8196206904675547,QUESTIONABLE
69.0,471.50075080349234,125.36963007897947,0.09782920493917258,0.7855982701035527,67.5,1.125,0.8281002046393576,0.9792660989333897,0.8585225892199062,QUESTIONABLE
71.0,481.36314524346994,126.72828402766342,0.03978740717097347,0.7981946151837214,75.0,1.25,0.865305033243744,0.97483711753022,0.8738367795526558,QUESTIONABLE
73.0,479.61469304534967,127.50964996548478,0.7699876424722063,0.7746264928381562,67.5,1.125,0.8276566282412703,0.9503090679843591,0.8482093992045154,QUESTIONABLE
75.0,475.0333019559124,131.42886740787287,1.6933074340107712,0.7682254478533018,67.5,1.125,0.8619999978876394,0.9444047171022334,0.8547711219280592,QUESTIONABLE
77.0,475.2367291864264,134.81776844478176,1.9280121810028372,0.7619988123349587,67.5,1.125,0.8788459065666542,0.9554031705029836,0.8595339310045764,QUESTIONABLE
79.0,471.11743799689543,133.07343461505897,1.412521126553345,0.77087756443538,67.5,1.125,0.8649864921464431,0.958141512443717,0.8594752759068283,QUESTIONABLE
81.0,467.7092464281273,134.80894140183128,1.0476101831853,0.775727654428291,67.5,1.125,0.8547198712731074,0.9584266800748195,0.8583923591682124,QUESTIONABLE
83.0,474.31969913716216,133.68818973428662,0.15473756936587088,0.7828955981311647,67.5,1.125,0.8618269262111057,0.9660761152400078,0.8649215401637991,QUESTIONABLE
85.0,474.2218155399798,132.8751550345481,0.43380098975617376,0.7939956530090003,75.0,1.25,0.8364830220362348,0.9736203975772437,0.8632672473299193,QUESTIONABLE
87.0,469.0,132.52220027317023,0.11051743380060618,0.8070987511271225,75.0,1.25,0.7798914102904994,0.9517934290328778,0.8471656093445744,QUESTIONABLE
89.0,469.01877058982683,135.0314638040165,1.4733560168396491,0.7731817729339305,67.5,1.125,0.7625137319630383,0.9621349491246947,0.8304538185874227,QUESTIONABLE
91.0,467.39582219890735,129.9006237921705,1.50191478734903,0.7712496354733231,67.5,1.125,0.8130470488669094,0.954059499742986,0.8432258687979993,QUESTIONABLE
93.0,464.7565366125714,129.53629764604167,1.0316399634425746,0.7625448561288974,67.5,1.125,0.6923268889164602,0.9409491867328816,0.8009058464730734,QUESTIONABLE
95.0,475.335146165422,127.19455179893177,0.20645077006035964,0.7774132039343985,67.5,1.125,0.6791253663051843,0.961414160020947,0.806985723469504,QUESTIONABLE
97.0,479.40524314164963,125.38529919076137,0.342683305940208,0.8226127084307399,75.0,1.25,0.8103004858486647,0.9702509519293719,0.8661854195127697,QUESTIONABLE
99.0,479.40524314164963,126.4693930070048,0.6285875170729838,0.83245392800766,75.0,1.25,0.6531996845511626,0.9460121713150511,0.818143910831423,QUESTIONABLE
101.0,475.99444031205275,132.5912382474243,-0.19083285947238532,0.8100442107220006,75.0,1.25,0.5642631391511116,0.9189321026072359,0.7770830465555809,QUESTIONABLE
103.0,474.4156441775882,134.74989023923257,-0.5859203673927583,0.7964129461594307,67.5,1.125,0.6461164920844991,0.9264223551019187,0.7976845971095058,QUESTIONABLE
105.0,467.9790964152264,137.23454185408815,0.9138662252423297,0.7676101986736601,60.0,1.0,0.6545566969777954,0.9407115163652626,0.7915533918358552,QUESTIONABLE
107.0,470.43411586520915,149.0201562108168,0.8201013151587767,0.7570171140141655,67.5,1.125,0.5684380419010214,0.9409490859594623,0.7613701806310229,QUESTIONABLE
109.0,473.43303880188404,152.9932368195329,-0.10694645385558516,0.7869120391807817,75.0,1.25,0.4576030903834605,0.9367318631228332,0.7389710627803386,QUESTIONABLE
