HostTime_ns,Data
1786314506347897428,457
1786314506353744882,451
1786314506359312261,446
1786314506364380800,440
1786314506368853012,434
1786314506373732595,429
1786314506380324170,425
1786314506386122408,420
1786314506389721049,416
1786314506397740360,413
1786314506400824667,408
1786314506406488723,405
1786314506410708027,402
1786314506416702802,399
1786314506421830497,395
1786314506426687843,393
1786314506431703596,391
1786314506437943853,389
1786314506442692621,387
1786314506447765579,385
1786314506453463990,384
1786314506460693219,382
1786314506463715059,381
1786314506468828468,380
1786314506473937984,379
1786314506479714053,378
1786314506484812403,378
1786314506489722692,378
1786314506494735216,379
1786314506501043675,378
1786314506505706036,378
1786314506510757420,378
1786314506516153103,378
1786314506521833839,379
1786314506526718477,379
1786314506531689712,381
1786314506537170048,382
1786314506542855699,382
1786314506547715642,384
1786314506552929650,385
1786314506557802199,387
1786314506563748751,389
1786314506568864461,391
1786314506573717055,393
1786314506579662179,395
1786314506585245433,397
1786314506589792382,399
1786314506594997064,401
1786314506601062866,403
1786314506607383025,404
1786314506612233269,405
1786314506615974947,407
1786314506622128813,407
1786314506627836447,407
1786314506631950504,408
1786314506637336182,407
1786314506643286725,407
1786314506648271454,406
1786314506654014063,405
1786314506658136181,404
1786314506664091658,403
1786314506669699234,401
1786314506674098172,400
1786314506678688007,398
1786314506684781875,395
1786314506690732550,393
1786314506694704632,391
1786314506699740977,389
1786314506705898319,385
1786314506710846146,383
1786314506716085148,380
1786314506721149982,377
1786314506726732353,374
1786314506732089621,372
1786314506737657437,369
1786314506741751370,368
1786314506747758556,367
1786314506752705716,368
1786314506757747654,371
1786314506763921766,376
1786314506768707165,383
1786314506773697292,394
1786314506778785223,408
1786314506784680731,426
1786314506790698582,447
1786314506794724727,472
1786314506799739894,499
1786314506805740607,530
1786314506810709767,562
1786314506816026602,597
1786314506822275623,633
1786314506826741724,669
1786314506832051077,706
1786314506837359314,741
1786314506842142132,776
1786314506847725922,808
1786314506852720626,840
1786314506858067654,868
1786314506862688469,891
1786314506868699748,912
1786314506873814900,930
1786314506878773760,943
1786314506883676493,953
1786314506889767061,959
1786314506894737174,961
1786314506899829724,959
1786314506904675202,954
1786314506910697764,947
1786314506915667669,937
1786314506920763013,924
1786314506925820404,909
1786314506931697361,892
1786314506936688237,873
1786314506941774467,853
1786314506947983928,831
1786314506952760894,807
1786314506957829876,784
1786314506962839003,759
1786314506968706881,735
1786314506973711204,709
1786314506979113606,683
1786314506983687143,658
1786314506989878257,632
1786314506994667370,607
1786314506999872482,583
1786314507005295502,561
1786314507010693919,539
1786314507015672258,520
1786314507020699721,503
1786314507025740055,488
1786314507031694667,476
1786314507036643494,464
1786314507041716708,456
1786314507046780031,450
1786314507052767587,446
1786314507057731180,443
1786314507062974789,443
1786314507067684632,444
1786314507073903178,447
1786314507078833278,451
1786314507083619495,457
1786314507088784123,464
1786314507094752949,471
1786314507099645050,479
1786314507104857712,487
1786314507109836755,495
1786314507115713106,504
1786314507120775879,511
1786314507125837497,518
1786314507131726134,526
1786314507136832209,532
1786314507141789632,537
1786314507146814530,542
1786314507152717455,547
1786314507157826928,550
1786314507162800904,551
1786314507167674383,553
1786314507173833083,554
1786314507178822114,552
1786314507183691686,551
1786314507188801192,548
1786314507194777381,545
1786314507199715211,542
1786314507204668299,537
1786314507209747565,532
1786314507215711272,527
1786314507221540387,521
1786314507225713988,514
1786314507230721820,509
1786314507236773184,503
1786314507242071776,496
1786314507246920937,489
1786314507251763971,483
1786314507257902960,476
1786314507262970156,470
1786314507267676593,464
1786314507273074749,458
1786314507278849217,451
1786314507283682031,445
1786314507290711837,439
1786314507294893645,433
1786314507299710636,428
1786314507304859268,422
1786314507310465021,417
1786314507315763955,412
1786314507321543747,408
1786314507325712619,404
1786314507330853673,400
1786314507336876221,397
1786314507341963592,394
1786314507346666598,391
1786314507351714600,388
1786314507357741461,385
1786314507362950491,383
1786314507367698482,382
1786314507372921520,381
1786314507378889487,380
1786314507383939942,378
1786314507389125438,376
1786314507393671892,375
1786314507399745264,375
1786314507404732049,373
1786314507409673645,372
1786314507414883810,371
1786314507420724562,370
1786314507426600806,370
1786314507431945724,370
1786314507435967648,370
1786314507441702491,370
1786314507446775120,370
1786314507451669925,371
1786314507457661735,371
1786314507462848099,372
1786314507468017442,372
1786314507473670090,373
1786314507479108263,374
1786314507483722071,375
1786314507488802957,376
1786314507493731443,377
1786314507499717698,378
1786314507504738792,380
1786314507509760042,381
1786314507514687411,382
1786314507521355500,384
1786314507525713145,385
1786314507530698822,386
1786314507535681339,387
1786314507541793652,387
1786314507546806075,387
1786314507551677044,387
1786314507556860057,387
1786314507562814315,387
1786314507567695200,387
1786314507572821163,386
1786314507577771234,385
1786314507583713862,384
1786314507588872597,383
1786314507593881794,382
1786314507598738299,382
1786314507604691890,381
1786314507609668900,380
1786314507614663998,379
1786314507619659942,378
1786314507625728481,376
1786314507630630270,375
1786314507635687203,373
1786314507641603872,371
1786314507646635967,369
1786314507651638406,368
1786314507656729274,366
1786314507662638044,364
1786314507667676011,362
1786314507672700612,360
1786314507677701194,359
1786314507683987522,357
1786314507688798471,356
1786314507693676193,356
1786314507698629500,358
1786314507704652841,362
1786314507709655987,368
1786314507714625195,377
1786314507719679842,388
1786314507725741076,403
1786314507730710145,422
1786314507735675463,444
1786314507740735211,469
1786314507746785572,496
1786314507751700981,527
1786314507756725060,560
1786314507761667572,594
1786314507767711683,629
1786314507772821360,665
1786314507777807374,701
1786314507782685431,736
1786314507788641621,769
1786314507793691322,801
1786314507798800839,831
1786314507803966911,858
1786314507809824484,881
1786314507814676808,901
1786314507819785485,917
1786314507825860754,930
1786314507831073394,937
1786314507835812698,942
1786314507840880347,944
1786314507846976552,942
1786314507851811561,936
1786314507856821197,928
1786314507861967846,918
1786314507867813330,905
1786314507872772836,890
1786314507877839686,872
1786314507882752160,853
1786314507888965339,831
1786314507893970166,809
1786314507898920147,785
1786314507903866259,760
1786314507909892392,735
1786314507914714777,708
1786314507919950825,681
1786314507924798529,655
1786314507931035663,628
1786314507935894435,602
1786314507940972676,577
1786314507945973985,554
